taxlevel	rankID	taxon	daughterlevels	total	01_dcm_SernOcean	02_surface_SernOcean	03_meso_SPacific	04_surface_NAtlantic	05_dcm_SPacific	06_surface_SPacific
4	0.2.5.1.1	Candidate_division_OD1_unclassified	1	1	0	0	1	0	0	0
5	0.2.5.1.1.1	Candidate_division_OD1_unclassified	1	1	0	0	1	0	0	0
6	0.2.5.1.1.1.1	unclassified	0	1	0	0	1	0	0	0
2	0.2.6	Candidate_division_TM7	1	16	0	0	12	0	3	1
3	0.2.6.1	Candidate_division_TM7_unclassified	1	16	0	0	12	0	3	1
4	0.2.6.1.1	Candidate_division_TM7_unclassified	1	16	0	0	12	0	3	1
5	0.2.6.1.1.1	Candidate_division_TM7_unclassified	1	16	0	0	12	0	3	1
6	0.2.6.1.1.1.1	unclassified	0	16	0	0	12	0	3	1
2	0.2.7	Chlamydiae	1	7	0	0	2	0	1	4
3	0.2.7.1	Chlamydiae	1	7	0	0	2	0	1	4
4	0.2.7.1.1	Chlamydiales	3	7	0	0	2	0	1	4
5	0.2.7.1.1.1	Chlamydiales_unclassified	1	2	0	0	0	0	1	1
6	0.2.7.1.1.1.1	unclassified	0	2	0	0	0	0	1	1
5	0.2.7.1.1.2	Parachlamydiaceae	1	1	0	0	1	0	0	0
6	0.2.7.1.1.2.1	Neochlamydia	0	1	0	0	1	0	0	0
5	0.2.7.1.1.3	Simkaniaceae	1	4	0	0	1	0	0	3
6	0.2.7.1.1.3.1	Candidatus_Fritschea	0	4	0	0	1	0	0	3
2	0.2.8	Chloroflexi	2	168	0	0	74	13	78	3
3	0.2.8.1	Chloroflexi_unclassified	1	19	0	0	9	1	9	0
4	0.2.8.1.1	Chloroflexi_unclassified	1	19	0	0	9	1	9	0
5	0.2.8.1.1.1	Chloroflexi_unclassified	1	19	0	0	9	1	9	0
6	0.2.8.1.1.1.1	unclassified	0	19	0	0	9	1	9	0
3	0.2.8.2	SAR202_clade	1	149	0	0	65	12	69	3
4	0.2.8.2.1	SAR202_clade_unclassified	1	149	0	0	65	12	69	3
5	0.2.8.2.1.1	SAR202_clade_unclassified	1	149	0	0	65	12	69	3
6	0.2.8.2.1.1.1	unclassified	0	149	0	0	65	12	69	3
2	0.2.9	Cyanobacteria	3	3998	217	247	272	1053	778	1431
3	0.2.9.1	Chloroplast	1	127	25	69	1	20	1	11
4	0.2.9.1.1	Chloroplast_unclassified	1	127	25	69	1	20	1	11
5	0.2.9.1.1.1	Chloroplast_unclassified	1	127	25	69	1	20	1	11
6	0.2.9.1.1.1.1	unclassified	0	127	25	69	1	20	1	11
3	0.2.9.2	Cyanobacteria	2	3459	56	39	268	949	767	1380
4	0.2.9.2.1	Cyanobacteria_unclassified	1	254	56	39	5	48	41	65
5	0.2.9.2.1.1	Cyanobacteria_unclassified	1	254	56	39	5	48	41	65
6	0.2.9.2.1.1.1	unclassified	0	254	56	39	5	48	41	65
4	0.2.9.2.2	SubsectionI	1	3205	0	0	263	901	726	1315
5	0.2.9.2.2.1	FamilyI	4	3205	0	0	263	901	726	1315
6	0.2.9.2.2.1.1	Merismopedia	0	2	0	0	1	0	1	0
6	0.2.9.2.2.1.2	Prochlorococcus	0	2197	0	0	186	439	538	1034
6	0.2.9.2.2.1.3	Synechococcus	0	338	0	0	11	279	33	15
6	0.2.9.2.2.1.4	unclassified	0	668	0	0	65	183	154	266
3	0.2.9.3	Cyanobacteria_unclassified	1	412	136	139	3	84	10	40
4	0.2.9.3.1	Cyanobacteria_unclassified	1	412	136	139	3	84	10	40
5	0.2.9.3.1.1	Cyanobacteria_unclassified	1	412	136	139	3	84	10	40
6	0.2.9.3.1.1.1	unclassified	0	412	136	139	3	84	10	40
2	0.2.10	Deferribacteres	1	1295	1	0	331	230	358	375
3	0.2.10.1	Deferribacteres	1	1295	1	0	331	230	358	375
4	0.2.10.1.1	Deferribacterales	3	1295	1	0	331	230	358	375
5	0.2.10.1.1.1	Deferribacterales_unclassified	1	14	0	0	9	0	1	4
6	0.2.10.1.1.1.1	unclassified	0	14	0	0	9	0	1	4
5	0.2.10.1.1.2	PAUC34f	1	13	0	0	10	0	0	3
6	0.2.10.1.1.2.1	unclassified	0	13	0	0	10	0	0	3
5	0.2.10.1.1.3	SAR406_clade(Marine_group_A)	1	1268	1	0	312	230	357	368
6	0.2.10.1.1.3.1	unclassified	0	1268	1	0	312	230	357	368
2	0.2.11	Firmicutes	2	6	0	0	2	3	1	0
3	0.2.11.1	Bacilli	1	3	0	0	1	2	0	0
4	0.2.11.1.1	Bacillales	2	3	0	0	1	2	0	0
5	0.2.11.1.1.1	Bacillaceae	1	1	0	0	1	0	0	0
6	0.2.11.1.1.1.1	unclassified	0	1	0	0	1	0	0	0
5	0.2.11.1.1.2	Bacillales_unclassified	1	2	0	0	0	2	0	0
6	0.2.11.1.1.2.1	unclassified	0	2	0	0	0	2	0	0
3	0.2.11.2	Firmicutes_unclassified	1	3	0	0	1	1	1	0
4	0.2.11.2.1	Firmicutes_unclassified	1	3	0	0	1	1	1	0
5	0.2.11.2.1.1	Firmicutes_unclassified	1	3	0	0	1	1	1	0
6	0.2.11.2.1.1.1	unclassified	0	3	0	0	1	1	1	0
2	0.2.12	Gemmatimonadetes	1	67	0	0	59	1	7	0
3	0.2.12.1	Gemmatimonadetes	3	67	0	0	59	1	7	0
4	0.2.12.1.1	BD2-11_terrestrial_group	1	63	0	0	56	1	6	0
5	0.2.12.1.1.1	BD2-11_terrestrial_group_unclassified	1	63	0	0	56	1	6	0
6	0.2.12.1.1.1.1	unclassified	0	63	0	0	56	1	6	0
4	0.2.12.1.2	Gemmatimonadetes_unclassified	1	3	0	0	2	0	1	0
5	0.2.12.1.2.1	Gemmatimonadetes_unclassified	1	3	0	0	2	0	1	0
6	0.2.12.1.2.1.1	unclassified	0	3	0	0	2	0	1	0
4	0.2.12.1.3	PAUC43f_marine_benthic_group	1	1	0	0	1	0	0	0
5	0.2.12.1.3.1	PAUC43f_marine_benthic_group_unclassified	1	1	0	0	1	0	0	0
6	0.2.12.1.3.1.1	unclassified	0	1	0	0	1	0	0	0
2	0.2.13	Lentisphaerae	2	6	0	0	4	1	1	0
3	0.2.13.1	Lentisphaerae_unclassified	1	4	0	0	3	1	0	0
4	0.2.13.1.1	Lentisphaerae_unclassified	1	4	0	0	3	1	0	0
5	0.2.13.1.1.1	Lentisphaerae_unclassified	1	4	0	0	3	1	0	0
6	0.2.13.1.1.1.1	unclassified	0	4	0	0	3	1	0	0
3	0.2.13.2	Lentisphaeria	1	2	0	0	1	0	1	0
4	0.2.13.2.1	Lentisphaerales	1	2	0	0	1	0	1	0
5	0.2.13.2.1.1	Lentisphaeraceae	1	2	0	0	1	0	1	0
6	0.2.13.2.1.1.1	Lentisphaera	0	2	0	0	1	0	1	0
2	0.2.14	Planctomycetes	4	105	0	0	39	6	37	23
3	0.2.14.1	OM190	1	7	0	0	1	0	0	6
4	0.2.14.1.1	OM190_unclassified	1	7	0	0	1	0	0	6
5	0.2.14.1.1.1	OM190_unclassified	1	7	0	0	1	0	0	6
6	0.2.14.1.1.1.1	unclassified	0	7	0	0	1	0	0	6
3	0.2.14.2	Phycisphaerae	3	38	0	0	12	0	16	10
4	0.2.14.2.1	MSBL9	1	1	0	0	1	0	0	0
5	0.2.14.2.1.1	MSBL9_unclassified	1	1	0	0	1	0	0	0
6	0.2.14.2.1.1.1	unclassified	0	1	0	0	1	0	0	0
4	0.2.14.2.2	Phycisphaerae_unclassified	1	8	0	0	3	0	4	1
5	0.2.14.2.2.1	Phycisphaerae_unclassified	1	8	0	0	3	0	4	1
6	0.2.14.2.2.1.1	unclassified	0	8	0	0	3	0	4	1
4	0.2.14.2.3	Phycisphaerales	1	29	0	0	8	0	12	9
5	0.2.14.2.3.1	Phycisphaeraceae	4	29	0	0	8	0	12	9
6	0.2.14.2.3.1.1	CL500-3	0	1	0	0	0	0	0	1
6	0.2.14.2.3.1.2	Phycisphaera	0	7	0	0	0	0	5	2
6	0.2.14.2.3.1.3	Urania-1B-19_marine_sediment_group	0	7	0	0	1	0	3	3
6	0.2.14.2.3.1.4	unclassified	0	14	0	0	7	0	4	3
3	0.2.14.3	Planctomycetacia	1	34	0	0	15	6	13	0
4	0.2.14.3.1	Planctomycetales	1	34	0	0	15	6	13	0
5	0.2.14.3.1.1	Planctomycetaceae	5	34	0	0	15	6	13	0
6	0.2.14.3.1.1.1	Blastopirellula	0	5	0	0	1	0	4	0
6	0.2.14.3.1.1.2	Pirellula	0	1	0	0	0	1	0	0
6	0.2.14.3.1.1.3	Planctomyces	0	2	0	0	2	0	0	0
6	0.2.14.3.1.1.4	Rhodopirellula	0	1	0	0	0	1	0	0
6	0.2.14.3.1.1.5	unclassified	0	25	0	0	12	4	9	0
3	0.2.14.4	Planctomycetes_unclassified	1	26	0	0	11	0	8	7
4	0.2.14.4.1	Planctomycetes_unclassified	1	26	0	0	11	0	8	7
5	0.2.14.4.1.1	Planctomycetes_unclassified	1	26	0	0	11	0	8	7
6	0.2.14.4.1.1.1	unclassified	0	26	0	0	11	0	8	7
2	0.2.15	Proteobacteria	8	31866	5451	5945	4567	4911	5893	5099
3	0.2.15.1	AEGEAN-245	1	4	0	0	1	0	3	0
4	0.2.15.1.1	AEGEAN-245_unclassified	1	4	0	0	1	0	3	0
5	0.2.15.1.1.1	AEGEAN-245_unclassified	1	4	0	0	1	0	3	0
6	0.2.15.1.1.1.1	unclassified	0	4	0	0	1	0	3	0
3	0.2.15.2	Alphaproteobacteria	9	17218	1913	2866	2344	3480	2982	3633
4	0.2.15.2.1	Alphaproteobacteria_unclassified	1	1585	59	78	276	415	396	361
5	0.2.15.2.1.1	Alphaproteobacteria_unclassified	1	1585	59	78	276	415	396	361
6	0.2.15.2.1.1.1	unclassified	0	1585	59	78	276	415	396	361
4	0.2.15.2.2	Caulobacterales	2	41	0	0	32	1	4	4
5	0.2.15.2.2.1	Caulobacterales_unclassified	1	3	0	0	3	0	0	0
6	0.2.15.2.2.1.1	unclassified	0	3	0	0	3	0	0	0
5	0.2.15.2.2.2	Hyphomonadaceae	4	38	0	0	29	1	4	4
6	0.2.15.2.2.2.1	Henriciella	0	19	0	0	16	0	2	1
6	0.2.15.2.2.2.2	Hyphomonas	0	4	0	0	3	1	0	0
6	0.2.15.2.2.2.3	Maricaulis	0	4	0	0	0	0	1	3
6	0.2.15.2.2.2.4	unclassified	0	11	0	0	10	0	1	0
4	0.2.15.2.3	OCS116_clade	1	166	3	2	8	83	13	57
5	0.2.15.2.3.1	OCS116_clade_unclassified	1	166	3	2	8	83	13	57
6	0.2.15.2.3.1.1	unclassified	0	166	3	2	8	83	13	57
4	0.2.15.2.4	Rhizobiales	6	41	0	0	30	6	3	2
5	0.2.15.2.4.1	Aurantimonadaceae	1	1	0	0	1	0	0	0
6	0.2.15.2.4.1.1	Aurantimonas	0	1	0	0	1	0	0	0
5	0.2.15.2.4.2	Bradyrhizobiaceae	2	2	0	0	2	0	0	0
6	0.2.15.2.4.2.1	Bosea	0	1	0	0	1	0	0	0
6	0.2.15.2.4.2.2	Rhodopseudomonas	0	1	0	0	1	0	0	0
5	0.2.15.2.4.3	Brucellaceae	1	1	0	0	0	1	0	0
6	0.2.15.2.4.3.1	Ochrobactrum	0	1	0	0	0	1	0	0
5	0.2.15.2.4.4	Phyllobacteriaceae	4	8	0	0	7	0	1	0
6	0.2.15.2.4.4.1	Hoeflea	0	3	0	0	3	0	0	0
6	0.2.15.2.4.4.2	Mesorhizobium	0	2	0	0	1	0	1	0
6	0.2.15.2.4.4.3	Nitratireductor	0	1	0	0	1	0	0	0
6	0.2.15.2.4.4.4	unclassified	0	2	0	0	2	0	0	0
5	0.2.15.2.4.5	Rhizobiaceae	2	4	0	0	3	0	0	1
6	0.2.15.2.4.5.1	Ensifer	0	3	0	0	2	0	0	1
6	0.2.15.2.4.5.2	unclassified	0	1	0	0	1	0	0	0
5	0.2.15.2.4.6	Rhizobiales_unclassified	1	25	0	0	17	5	2	1
6	0.2.15.2.4.6.1	unclassified	0	25	0	0	17	5	2	1
4	0.2.15.2.5	Rhodobacterales	1	911	187	230	73	215	56	150
5	0.2.15.2.5.1	Rhodobacteraceae	18	911	187	230	73	215	56	150
